PC BS ee es Be ee Se oe Be Be 0 ee
"1966 13,269 3,271 7,220 8,535 35,868 144,063 37,784 44,744 52,911 32,394 N/A N/A 380,059"
"2003 15,756 2,316 5,926 6,069 30,450 56,953 15,132 18208 18,373 6,541 244 ~~ 159 12 176,139"
"2004 14,821 2,124 5,727 5,715 30,065 55,570 14,292 18339 18,782 6,409 192 182 24. = 172,242"
"2005 13,574 2,012 5,485 5,556 28,877 53,164 13,892 18611 19,340 6,187 193 204 30 167,125"
"2006 14,224 1,474 5,382 5,331 28,035 54,404 14,246 18647 19,403 5,833 202 +=: 167 20 167,368"
"2007 15,680 1,620 5,467 5,406 28,836 53,667 14,089 19,381 20,460 6,130 186 207 22 171,151"
"2008 16,155 1,578 5,573 5,531 29,767 55,039 13,648 18,082 20,463 6,371 190 183 26 172,606"
"2009 15,686 1,687 5,555 5,564 29,700 55,624 12,708 17,898 19,378 6,639 217 190 34 170,880"
"2010 15,762 1,775 5,704 5,550 30,599 55,674 12,761 17,995 19,939 6,442 247 ~-.200 52 172,700"
"2011 15,826 1,761 5,619 5,595 30,866 56,314 11,896 17,533 21,433 6,314 251 234 26 173,668"
"2012 17,449 1,784 5,794 5,818 31,352 57,426 12,421 20,112 21,866 6,800 261 254 38 181,375"
"2013 17,548 1,742 5,825 6,182 31,943 62,009 12,765 21,376 22,736 7,108 287 259 44 189,824"
"2014 15,957 1,768 5,289 5,969 32,506 61,539 12,219 20,518 23,429 7,474 391 281 54 187,394"
"2015 15,109 1,704 5,096 5,566 31,265 59,975 12,386 21,099 25,096 7,558 341 301 63 185,559"
"2016 14,695 1,681 5,109 5,686 30,902 58,105 11,721 20,756 25,394 7,076 329 286 69 181,809"
"2017 13,825 1,213 4,726 5,077 30,414 53,232 8,165 19,862 24,261 6,883 284 297 49 168,288"
"2018 12,871 1,193 4,601 5,049 29,803 51,502 8,504 19,701 24,416 7,029 266 275 63 165,273"
"2019 12,381 1,214 4,700 5,081 28,479 50,659 7,875 = 18,270 24,328 7,047 283 286 85 161,271"
"2020 12,615 1,231 4,583 5,053 = 28,727 50,801 6,031 9,057 23,153 7,592 313 296 83 149,560"
"2021 11,412 1,201 4,470 5,017 28,889 48,549 6,694 11,648 22,483 7,298 254 305 61 148,394"
"2022 8,186 1,068 4,171 4,897 26,789 45,455 6,810 13,086 21,756 7,127 220 302 45 140,133"
"1966-69 16,217 3,452 8,243 8,986 36,237 140,944 38,432 44,585 54,007 32,914 N/A N/A 384,014"
"1970-79 29,025 5,214 13,578 12,710 61,596 143,727 43,568 54,354 70,058 29,149 781 525 463,761"
"1980-89 27,686 5,347 12,093 11,371 64,461 133,025 36,036 37,752 52,302 21,200 674 437 402,383"
"1990-99 18,392 3,503 8,837 8,649 42,039 88,945 19,712 21,067 26,623 11,198 329 273 249,566"
"2000-09 15,137 2,040 5,915 5,750 29,758 56,326 14,383 18,689 19,535 6,880 217 198 41 174,850"
"2010-19 15,142 1,584 5,246 5,557 30,813 56,644 11,071 19,722 23,290 6,973 294 267 54 176,716"
"1966-22 20,191 3,407 8,823 8,619 44,141 96,408 24,929 30,315 38,623 15,924 421 323 41 292,051"
ICF_DIPRO. imonitoring\harvest data\DATABOORKIHIP\PERM HIP.X 01/24/24
